Date,8035_Open,8035_High,8035_Low,8035_Close,4186_Open,4186_High,4186_Low,4186_Close,5803_Open,5803_High,5803_Low,5803_Close,6508_Open,6508_High,6508_Low,6508_Close,6504_Open,6504_High,6504_Low,6504_Close,5016_Open,5016_High,5016_Low,5016_Close,6920_Open,6920_High,6920_Low,6920_Close,6857_Open,6857_High,6857_Low,6857_Close,5801_Open,5801_High,5801_Low,5801_Close,5802_Open,5802_High,5802_Low,5802_Close
2026-02-10,41343.39,41977.46,40372.47,41115.52,8522.47,8579.26,8075.07,8192.65,3848.47,3952.15,3749.77,3825.25,6896.35,7034.47,6847.02,6985.14,11192.15,11618.04,11033.67,11568.52,2709.45,2777.98,2658.8,2760.6,31425.69,31575.1,30310.11,30788.21,27542.51,28281.5,27267.88,27637.38,1976.47,2135.38,1951.14,2135.38,2159.3,2196.14,2119.24,2158.06
2026-02-12,41511.82,42017.1,40352.66,40917.38,8309.23,8373.0,8179.7,8300.26,3877.5,3887.46,3691.71,3823.59,6965.41,7133.13,6906.21,7064.07,11479.38,11667.56,11251.57,11390.24,3078.92,3257.7,3042.17,3257.7,31475.5,31565.14,30758.33,31027.27,27862.07,27961.94,26723.62,26773.56,2124.46,2312.67,2096.65,2199.45,2113.06,2226.31,2095.51,2168.45
2026-02-13,40887.65,42284.59,40630.06,41600.98,8231.51,8410.87,8066.1,8296.28,3763.04,3810.32,3600.48,3615.41,6916.08,6965.41,6639.83,6699.03,11251.57,11385.28,11048.53,11157.48,3268.62,3581.48,3155.4,3346.09,30330.03,31037.23,30200.54,30738.41,26274.24,27402.7,25999.61,27093.12,2149.78,2192.99,2110.55,2134.89,2148.67,2200.34,2111.58,2124.68
2026-02-16,41392.93,41442.47,40630.06,40996.64,8564.32,8717.77,8462.68,8649.01,3630.34,3673.47,3534.96,3557.35,6787.82,6975.27,6758.22,6935.81,11211.95,11345.67,11157.48,11315.95,3436.48,3444.42,3247.77,3267.63,30857.94,30987.43,30220.46,30589.0,27402.7,27432.66,26943.33,27063.16,2164.68,2172.13,2078.27,2102.61,2180.81,2194.16,2134.33,2139.52
2026-02-17,41561.36,42423.3,41204.69,41759.5,8680.9,8918.05,8583.25,8887.16,3549.89,3622.87,3468.6,3553.2,6906.21,6935.81,6768.09,6827.28,11315.95,11315.95,11152.53,11241.67,3302.39,3350.07,3168.31,3214.0,30818.1,30987.43,30081.01,30499.36,27103.11,27187.99,26444.01,26758.58,2077.28,2109.06,2033.08,2098.14,2137.29,2179.57,2098.47,2139.02
2026-02-18,42185.52,43513.11,41987.37,42988.02,8921.04,9151.21,8835.35,8877.2,3583.06,3715.77,3535.79,3705.81,7143.0,7586.97,7064.07,7369.91,11484.33,11850.8,11449.66,11786.42,3169.3,3306.37,3158.38,3226.91,30479.44,31266.32,30369.87,31047.19,26653.72,27187.99,26289.22,26923.35,2099.13,2184.05,2075.3,2176.1,2104.65,2216.66,2090.07,2182.29
2026-02-19,44335.42,45028.93,44028.29,44216.53,8957.91,9333.56,8908.09,9204.03,3765.53,3842.67,3746.46,3807.0,7429.11,7438.98,7271.25,7360.05,11786.42,12024.13,11697.28,11915.18,3282.53,3365.96,3262.67,3365.96,31355.97,31664.75,30598.96,30887.82,27417.68,27817.14,25620.13,25959.67,2184.05,2282.87,2155.25,2270.46,2230.26,2344.99,2223.34,2304.44
2026-02-20,43394.22,43840.05,42562.0,43552.73,9117.34,9376.41,9066.52,9204.03,3808.66,3841.84,3743.97,3798.71,7379.78,7616.57,7350.18,7557.37,11999.37,12454.98,11811.18,12454.98,3365.96,3413.63,3310.34,3365.96,30608.92,30648.77,29866.86,30519.28,25505.28,26204.33,25305.56,25440.37,2241.16,2347.93,2210.37,2317.64,2289.36,2448.59,2282.68,2410.26
2026-02-24,43275.33,43968.84,42968.2,43968.84,9177.12,9301.68,9092.43,9149.22,3881.65,4233.32,3879.99,4178.58,7478.44,7596.83,7429.11,7468.57,12395.55,13024.49,12157.84,13004.68,3498.05,3707.62,3497.06,3666.9,30728.45,31943.65,30678.65,31794.24,25465.34,26723.63,25435.38,26583.82,2466.62,2722.37,2441.79,2672.71,2522.03,2693.87,2522.03,2569.0
2026-02-25,44434.49,46168.28,44355.23,45801.7,9281.75,9325.59,9089.44,9281.75,4184.39,4465.56,4079.05,4449.8,7616.57,7715.23,7488.31,7646.16,13559.33,13618.76,13197.82,13291.91,3774.16,4151.58,3724.5,4116.82,32132.9,32989.51,32033.29,32411.79,26728.62,28576.1,26573.83,28576.1,2699.03,2811.75,2665.75,2793.38,2607.33,2693.87,2567.77,2649.36
2026-02-26,46168.28,46168.28,44305.69,44890.23,9346.52,9406.3,8858.26,9148.23,4532.74,4827.18,4413.3,4555.96,7774.42,7794.15,7537.64,7596.83,13811.9,13811.9,13192.87,13272.1,4394.91,4394.91,3919.17,4113.84,32620.97,33358.05,31505.38,33358.05,29000.53,29305.11,27237.92,28086.77,2817.22,2882.77,2656.81,2781.46,2667.91,2670.38,2504.72,2531.92
2026-02-27,42809.68,43889.58,42700.7,43602.27,8958.9,9187.09,8880.19,9187.09,4390.08,4444.82,4271.47,4439.85,7537.64,7725.09,7508.04,7715.23,13222.58,13777.23,13158.2,13777.23,3923.14,4130.72,3855.61,4130.72,32262.38,33796.32,31654.79,33527.38,26978.28,27038.2,26324.17,26813.5,2632.48,2790.9,2539.62,2790.9,2411.25,2571.48,2371.94,2565.3
2026-03-02,42294.5,43384.31,42254.87,43126.72,9037.62,9604.59,8977.84,9600.6,4296.36,4723.5,4294.7,4715.21,7606.7,7882.95,7606.7,7833.62,13182.96,13579.14,13118.58,13465.24,3943.01,4335.32,3937.05,4326.38,32252.42,34493.56,31724.51,34154.9,26314.18,26424.03,25680.05,25764.93,2691.58,3053.1,2684.62,2961.73,2468.86,2705.0,2464.91,2686.45
2026-03-03,43146.53,43582.45,41937.83,42205.33,9535.84,9695.27,9053.56,9075.49,4827.18,4944.96,4483.8,4536.89,7843.48,7932.28,7360.05,7409.38,13569.24,13638.57,12712.49,12846.21,4395.91,4735.58,4253.88,4274.74,33915.84,34493.56,33328.17,34085.17,25964.66,26538.88,25405.42,25690.03,3071.97,3190.16,2872.34,2903.13,2823.68,2842.22,2539.33,2552.93
2026-03-04,40986.73,41918.02,39748.31,40313.03,8627.09,9033.64,8370.01,8553.36,4397.55,4528.59,4112.23,4209.27,7113.4,7251.52,6777.95,6975.27,12073.65,12494.59,11558.61,11979.56,4066.16,4273.74,3696.69,3879.44,33387.93,34891.98,32182.7,32959.62,24876.14,25555.22,23787.62,24466.7,2803.81,2959.74,2686.61,2748.69,2433.51,2577.66,2374.17,2458.97
